Summary,Issue Type,Priority,Labels,Milestone,Description,Acceptance Criteria
"[Epic] Phase 0 — Infrastructure",Epic,P1-high,"type:epic,phase:0-infra",v0.0.1 — Foundation,"Repository setup, CI/CD, tooling configuration. Zero features, zero business logic.",All tooling configured and CI passes on empty skeleton
"[Task] Initialize root composer.json with monorepo config",Task,P1-high,"type:task,phase:0-infra,pkg:core",v0.0.1 — Foundation,"Create root composer.json with type:project. Configure path repositories for all packages. Set minimum-stability, PHP requirement, and scripts.",composer install succeeds with all package paths resolved
"[Task] Create root package.json and PNPM workspace config",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Create root package.json, pnpm-workspace.yaml pointing to apps/* and packages/ui/*. Configure PNPM as package manager.","pnpm install succeeds, workspaces resolve correctly"
"[Task] Configure Turborepo for monorepo orchestration",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create turbo.json with build, test, lint, and analyze pipelines. Configure proper dependency graph between tasks.","turbo run test runs all packages in correct order"
"[Task] Create Makefile with common commands",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create Makefile with targets: install, test, test-php, test-frontend, lint, lint-php, lint-frontend, analyze, format, format-php, format-frontend, build, clean, help","make help shows all targets, each target runs correctly"
"[Task] Create .gitignore for monorepo",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Cover: vendor/, node_modules/, .env, .idea/, .vscode/ (except settings), dist/, build/, coverage/, .phpunit.result.cache, .phpstan/, *.cache",No build artifacts or IDE files tracked
"[Task] Create .editorconfig",Task,P3-low,"type:chore,phase:0-infra",v0.0.1 — Foundation,"Configure indent style (spaces), indent size (4 for PHP, 2 for TS/JSON/YAML), charset (utf-8), end_of_line (lf), trim_trailing_whitespace, insert_final_newline",EditorConfig applies correctly in VS Code
"[Task] Create LICENSE file (MIT)",Task,P3-low,"type:chore,phase:0-infra",v0.0.1 — Foundation,"MIT license with current year and project name",LICENSE exists at repo root
"[Task] Create initial README.md",Task,P2-medium,"type:docs,phase:0-infra",v0.0.1 — Foundation,"Minimal README: project name, one-line description, 'Under Development' badge, tech stack list, license. Will expand later.",README.md exists with basic project info
"[Task] Configure Laravel Pint (PER preset)",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create pint.json at root with PER Coding Style 2.0 preset. Add rules for trailing commas, blank line before return, import ordering.","vendor/bin/pint --test runs without config errors"
"[Task] Configure PHPStan (level max)",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create phpstan.neon.dist at root. Set level: max. Configure paths for all packages/*/src. Create baseline if needed.","vendor/bin/phpstan analyse runs without config errors"
"[Task] Configure Rector for PHP 8.3",Task,P2-medium,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create rector.php with PHP 8.3 target. Add quality rules: readonly properties, constructor promotion, match expressions.","vendor/bin/rector process --dry-run runs without errors"
"[Task] Configure Pest testing framework",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Install Pest. Create phpunit.xml.dist with test suites per package. Create root Pest.php config.","vendor/bin/pest runs (0 tests, 0 assertions OK)"
